ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12869588,JF446813,10/24/2022 7:30,027XX N LAVERGNE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2521,25,31,19,14,1142589,1917589,2022,1/3/2023 15:46,41.92991726,-87.75144277,"(41.92991726, -87.751442765)"
12868639,JF445556,10/23/2022 7:00,007XX E OAKWOOD BLVD,325,ROBBERY,VEHICULAR HIJACKING,STREET,FALSE,FALSE,214,2,4,38,3,1181936,1878827,2022,1/3/2023 15:46,41.82272871,-87.60805757,"(41.822728708, -87.608057569)"
12866235,JF442859,10/20/2022 20:30,072XX S EUCLID AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,333,3,5,43,6,1190299,1857192,2022,1/3/2023 15:46,41.76316297,-87.57807497,"(41.763162968, -87.578074968)"
12864270,JF439726,10/18/2022 19:00,062XX N WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,2413,24,50,2,14,1157200,1941313,2022,1/3/2023 15:46,41.99473262,-87.69710357,"(41.994732615, -87.697103566)"
12861561,JF437287,10/16/2022 22:33,019XX E 71ST PL,1025,ARSON,AGGRAVATED,APARTMENT,FALSE,TRUE,333,3,5,43,9,1190562,1857968,2022,1/3/2023 15:46,41.76528604,-87.57708604,"(41.765286035, -87.577086035)"
12861396,JF437270,10/16/2022 19:30,015XX N WELLS ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,1821,18,27,8,6,1174423,1910556,2022,1/3/2023 15:46,41.90996597,-87.63467212,"(41.909965973, -87.634672123)"
12861260,JF436926,10/16/2022 16:00,022XX S SPAULDING AVE,560,ASSAULT,SIMPLE,APARTMENT,FALSE,TRUE,1024,10,12,30,08A,1154709,1888974,2022,1/3/2023 15:46,41.85116058,-87.70767138,"(41.851160581, -87.707671375)"
12860991,JF436780,10/16/2022 13:33,075XX N PAULINA ST,460,BATTERY,SIMPLE,CTA TRAIN,FALSE,FALSE,2422,24,49,1,08B,1163690,1950023,2022,1/3/2023 15:46,42.01849825,-87.67298323,"(42.018498254, -87.672983233)"
12860643,JF436398,10/16/2022 7:10,002XX S PEORIA ST,560,ASSAULT,SIMPLE,OTHER (SPECIFY),FALSE,FALSE,1232,12,25,28,08A,1170448,1899179,2022,1/3/2023 15:46,41.87883469,-87.6496076,"(41.878834687, -87.649607595)"
12860757,JF436417,10/16/2022 3:45,0000X W ILLINOIS ST,460,BATTERY,SIMPLE,BAR OR TAVERN,FALSE,FALSE,1831,18,42,8,08B,1175702,1903591,2022,1/3/2023 15:46,41.89082499,-87.63018336,"(41.890824988, -87.630183362)"
12860629,JF436281,10/16/2022 3:00,002XX W VAN BUREN ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,TRUE,FALSE,122,1,25,32,14,1174617,1898485,2022,1/3/2023 15:46,41.87683815,-87.63432072,"(41.87683815, -87.634320718)"
12860753,JF436524,10/15/2022 23:30,006XX W 43RD PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,925,9,11,61,7,1172616,1876053,2022,1/3/2023 15:46,41.81532739,-87.64233042,"(41.815327389, -87.64233042)"
12860946,JF436718,10/15/2022 19:00,085XX W RASCHER AVE,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1614,16,41,76,6,1118367,1935083,2022,1/3/2023 15:46,41.97833963,-87.84008434,"(41.978339634, -87.840084335)"
12860312,JF435846,10/15/2022 17:23,026XX W 71ST ST,820,THEFT,$500 AND UNDER,STREET,FALSE,TRUE,831,8,17,66,6,1160018,1857470,2022,1/3/2023 15:46,41.76460183,-87.6890529,"(41.764601825, -87.689052902)"
12860180,JF435758,10/15/2022 16:14,055XX W LAWRENCE AVE,560,ASSAULT,SIMPLE,STREET,FALSE,FALSE,1623,16,45,15,08A,1138658,1931370,2022,1/3/2023 15:46,41.96780597,-87.76555289,"(41.967805972, -87.765552886)"
12861571,JF437484,10/15/2022 16:00,041XX W 21ST PL,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1012,10,24,29,14,1149100,1889435,2022,1/3/2023 15:46,41.85253592,-87.7282459,"(41.852535923, -87.728245903)"
