Manufacturer,Model Name,Category,Screen Size,Screen,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros)
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,,1.37kg,1339.69
Apple,Macbook Air,Ultrabook,"13.3""",1440x900,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,,1.34kg,898.94
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,Intel HD Graphics 620,No OS,,1.86kg,575
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,16GB,512GB SSD,AMD Radeon Pro 455,macOS,,1.83kg,2537.45
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,,1.37kg,1803.6
Acer,Aspire 3,Notebook,"15.6""",1366x768,4GB,500GB HDD,AMD Radeon R5,Windows,10,2.1kg,400
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS,X,2.04kg,2139.97
Apple,Macbook Air,Ultrabook,"13.3""",1440x900,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,,1.34kg,1158.7
Asus,ZenBook UX430UN,Ultrabook,"14.0""",Full HD 1920x1080,16GB,512GB SSD,Nvidia GeForce MX150,Windows,10,1.3kg,1495
Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,8GB,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,770
HP,250 G6,Notebook,"15.6""",1366x768,4GB,500GB HDD,Intel HD Graphics 620,No OS,,1.86kg,393.9
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,4GB,500GB HDD,Intel HD Graphics 520,No OS,,1.86kg,344.99
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,16GB,256GB SSD,AMD Radeon Pro 555,macOS,,1.83kg,2439.97
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,4GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,498.9
Apple,"MacBook 12""",Ultrabook,"12.0""",IPS Panel Retina Display 2304x1440,8GB,256GB SSD,Intel HD Graphics 615,macOS,,0.92kg,1262.4
Apple,MacBook Pro,Ultrabook,"13.3""",IPS Panel Retina Display 2560x1600,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,,1.37kg,1518.55
Dell,Inspiron 3567,Notebook,"15.6""",Full HD 1920x1080,8GB,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,745
Apple,MacBook Pro,Ultrabook,"15.4""",IPS Panel Retina Display 2880x1800,16GB,512GB SSD,AMD Radeon Pro 560,macOS,,1.83kg,2858
